threads,throughput_ops_sec,avg_latency_ms
1,3922.31,0.253492
2,6433.67,0.309205
4,6067.99,0.656668
6,6298.25,0.635285
8,10275.9,0.390991
12,10576.9,0.383261
16,10270.6,0.398442
32,10427.6,0.408065
