timestamp,threads,workload,num_keys,duration,requests,get_requests,throughput,avg_latency_ms,p99_latency_ms,hit_rate,server_threads,cache_capacity,db_pool_size
1763848268,1,get_popular,200000,30,29536,29536,934.331,1.06122,1,100,32,200000,16
1763848299,2,get_popular,200000,30,54114,54114,1721.33,1.15745,1,100,32,200000,16
1763848331,4,get_popular,200000,30,81109,81109,2573.68,1.54808,2,100,32,200000,16
1763848362,8,get_popular,200000,30,110682,110682,3511.96,2.26772,3,100,32,200000,16
1763848394,16,get_popular,200000,30,132400,132400,4200.1,3.78922,8,100,32,200000,16
1763848425,32,get_popular,200000,30,140173,140173,4427.07,7.16017,17,100,32,200000,16
1763848457,64,get_popular,200000,30,137490,137490,4295.23,14.6234,39,100,32,200000,16
1763848488,128,get_popular,200000,30,133501,133501,4344.64,28.6863,75,100,32,200000,16
