timestamp,threads,workload,num_keys,duration,requests,get_requests,throughput,avg_latency_ms,p99_latency_ms,hit_rate,server_threads,cache_capacity,db_pool_size
1763855528,1,get_popular,200000,10,41877,41877,3796.19,0.261479,0,100,8,200000,16
1763855548,2,get_popular,200000,10,77787,77787,7766.51,0.255411,0,100,8,200000,16
1763855569,4,get_popular,200000,10,125929,125929,12561,0.315853,0,100,8,200000,16
1763855590,6,get_popular,200000,10,155273,155273,14077.2,0.422692,0,100,8,200000,16
1763855610,8,get_popular,200000,10,188236,188236,18722.1,0.423059,0,100,8,200000,16
1763855631,10,get_popular,200000,10,184279,184279,16618.7,0.530013,0,100,8,200000,16
1763855652,12,get_popular,200000,10,181977,181977,18054.9,0.543568,0,100,8,200000,16
